Type: 1, Extra Length: 9
Extra Bytes:  114 206  43 141  75 167 250  83
NumberOfFrames: 28
Id: 65240 X:    0 Y:    0 W:   24 H:   48
Id: 65241 X:   24 Y:    0 W:   24 H:   48
Id: 65242 X:   48 Y:    0 W:   24 H:   48
Id: 65243 X:   72 Y:    0 W:   24 H:   48
Id: 65244 X:   96 Y:    0 W:   24 H:   48
Id: 65245 X:  120 Y:    0 W:   24 H:   48
Id: 65246 X:  144 Y:    0 W:   24 H:   48
Id: 65247 X:    0 Y:   48 W:   24 H:   48
Id: 65248 X:   24 Y:   48 W:   24 H:   48
Id: 65249 X:   48 Y:   48 W:   24 H:   48
Id: 65250 X:   72 Y:   48 W:   24 H:   48
Id: 65251 X:   96 Y:   48 W:   24 H:   48
Id: 65252 X:  120 Y:   48 W:   24 H:   48
Id: 65253 X:  144 Y:   48 W:   24 H:   48
Id: 65254 X:    0 Y:   96 W:   24 H:   48
Id: 65255 X:   24 Y:   96 W:   24 H:   48
Id: 65256 X:   48 Y:   96 W:   24 H:   48
Id: 65257 X:   72 Y:   96 W:   24 H:   48
Id: 65258 X:   96 Y:   96 W:   24 H:   48
Id: 65259 X:  120 Y:   96 W:   24 H:   48
Id: 65260 X:  144 Y:   96 W:   24 H:   48
Id: 65261 X:    0 Y:  144 W:   24 H:   48
Id: 65262 X:   24 Y:  144 W:   24 H:   48
Id: 65263 X:   48 Y:  144 W:   24 H:   48
Id: 65264 X:   72 Y:  144 W:   24 H:   48
Id: 65265 X:   96 Y:  144 W:   24 H:   48
Id: 65266 X:  120 Y:  144 W:   24 H:   48
Id: 65267 X:  144 Y:  144 W:   24 H:   48
U: 610
