Type: 1, Extra Length: 9
Extra Bytes:  187  85 121  80 201 118  43 237
NumberOfFrames: 28
Id: 65330 X:    0 Y:    0 W:   24 H:   48
Id: 65331 X:   24 Y:    0 W:   24 H:   48
Id: 65332 X:   48 Y:    0 W:   24 H:   48
Id: 65333 X:   72 Y:    0 W:   24 H:   48
Id: 65334 X:   96 Y:    0 W:   24 H:   48
Id: 65335 X:  120 Y:    0 W:   24 H:   48
Id: 65336 X:  144 Y:    0 W:   24 H:   48
Id: 65337 X:    0 Y:   48 W:   24 H:   48
Id: 65338 X:   24 Y:   48 W:   24 H:   48
Id: 65339 X:   48 Y:   48 W:   24 H:   48
Id: 65340 X:   72 Y:   48 W:   24 H:   48
Id: 65341 X:   96 Y:   48 W:   24 H:   48
Id: 65342 X:  120 Y:   48 W:   24 H:   48
Id: 65343 X:  144 Y:   48 W:   24 H:   48
Id: 65344 X:    0 Y:   96 W:   24 H:   48
Id: 65345 X:   24 Y:   96 W:   24 H:   48
Id: 65346 X:   48 Y:   96 W:   24 H:   48
Id: 65347 X:   72 Y:   96 W:   24 H:   48
Id: 65348 X:   96 Y:   96 W:   24 H:   48
Id: 65349 X:  120 Y:   96 W:   24 H:   48
Id: 65350 X:  144 Y:   96 W:   24 H:   48
Id: 65351 X:    0 Y:  144 W:   24 H:   48
Id: 65352 X:   24 Y:  144 W:   24 H:   48
Id: 65353 X:   48 Y:  144 W:   24 H:   48
Id: 65354 X:   72 Y:  144 W:   24 H:   48
Id: 65355 X:   96 Y:  144 W:   24 H:   48
Id: 65356 X:  120 Y:  144 W:   24 H:   48
Id: 65357 X:  144 Y:  144 W:   24 H:   48
U: 610
