Type: 1, Extra Length: 9
Extra Bytes:  152 144 128  89 117 231  57  63
NumberOfFrames: 28
Id: 65060 X:    0 Y:    0 W:   24 H:   48
Id: 65061 X:   24 Y:    0 W:   24 H:   48
Id: 65062 X:   48 Y:    0 W:   24 H:   48
Id: 65063 X:   72 Y:    0 W:   24 H:   48
Id: 65064 X:   96 Y:    0 W:   24 H:   48
Id: 65065 X:  120 Y:    0 W:   24 H:   48
Id: 65066 X:  144 Y:    0 W:   24 H:   48
Id: 65067 X:    0 Y:   48 W:   24 H:   48
Id: 65068 X:   24 Y:   48 W:   24 H:   48
Id: 65069 X:   48 Y:   48 W:   24 H:   48
Id: 65070 X:   72 Y:   48 W:   24 H:   48
Id: 65071 X:   96 Y:   48 W:   24 H:   48
Id: 65072 X:  120 Y:   48 W:   24 H:   48
Id: 65073 X:  144 Y:   48 W:   24 H:   48
Id: 65074 X:    0 Y:   96 W:   24 H:   48
Id: 65075 X:   24 Y:   96 W:   24 H:   48
Id: 65076 X:   48 Y:   96 W:   24 H:   48
Id: 65077 X:   72 Y:   96 W:   24 H:   48
Id: 65078 X:   96 Y:   96 W:   24 H:   48
Id: 65079 X:  120 Y:   96 W:   24 H:   48
Id: 65080 X:  144 Y:   96 W:   24 H:   48
Id: 65081 X:    0 Y:  144 W:   24 H:   48
Id: 65082 X:   24 Y:  144 W:   24 H:   48
Id: 65083 X:   48 Y:  144 W:   24 H:   48
Id: 65084 X:   72 Y:  144 W:   24 H:   48
Id: 65085 X:   96 Y:  144 W:   24 H:   48
Id: 65086 X:  120 Y:  144 W:   24 H:   48
Id: 65087 X:  144 Y:  144 W:   24 H:   48
U: 610
