Type: 1, Extra Length: 9
Extra Bytes:  104 237  10  24 143 168   0 238
NumberOfFrames: 28
Id: 65210 X:    0 Y:    0 W:   24 H:   48
Id: 65211 X:   24 Y:    0 W:   24 H:   48
Id: 65212 X:   48 Y:    0 W:   24 H:   48
Id: 65213 X:   72 Y:    0 W:   24 H:   48
Id: 65214 X:   96 Y:    0 W:   24 H:   48
Id: 65215 X:  120 Y:    0 W:   24 H:   48
Id: 65216 X:  144 Y:    0 W:   24 H:   48
Id: 65217 X:    0 Y:   48 W:   24 H:   48
Id: 65218 X:   24 Y:   48 W:   24 H:   48
Id: 65219 X:   48 Y:   48 W:   24 H:   48
Id: 65220 X:   72 Y:   48 W:   24 H:   48
Id: 65221 X:   96 Y:   48 W:   24 H:   48
Id: 65222 X:  120 Y:   48 W:   24 H:   48
Id: 65223 X:  144 Y:   48 W:   24 H:   48
Id: 65224 X:    0 Y:   96 W:   24 H:   48
Id: 65225 X:   24 Y:   96 W:   24 H:   48
Id: 65226 X:   48 Y:   96 W:   24 H:   48
Id: 65227 X:   72 Y:   96 W:   24 H:   48
Id: 65228 X:   96 Y:   96 W:   24 H:   48
Id: 65229 X:  120 Y:   96 W:   24 H:   48
Id: 65230 X:  144 Y:   96 W:   24 H:   48
Id: 65231 X:    0 Y:  144 W:   24 H:   48
Id: 65232 X:   24 Y:  144 W:   24 H:   48
Id: 65233 X:   48 Y:  144 W:   24 H:   48
Id: 65234 X:   72 Y:  144 W:   24 H:   48
Id: 65235 X:   96 Y:  144 W:   24 H:   48
Id: 65236 X:  120 Y:  144 W:   24 H:   48
Id: 65237 X:  144 Y:  144 W:   24 H:   48
U: 610
