Type: 1, Extra Length: 9
Extra Bytes:  101 112  92  91 140 166  24 245
NumberOfFrames: 24
Id: 20000 X:    0 Y:    0 W:   32 H:   32
Id: 20001 X:   32 Y:    0 W:   32 H:   32
Id: 20002 X:   64 Y:    0 W:   32 H:   32
Id: 20003 X:   96 Y:    0 W:   32 H:   32
Id: 20004 X:  128 Y:    0 W:   32 H:   32
Id: 20005 X:  160 Y:    0 W:   32 H:   32
Id: 20006 X:    0 Y:   32 W:   32 H:   32
Id: 20007 X:   32 Y:   32 W:   32 H:   32
Id: 20008 X:   64 Y:   32 W:   32 H:   32
Id: 20009 X:   96 Y:   32 W:   32 H:   32
Id: 20010 X:  128 Y:   32 W:   32 H:   32
Id: 20011 X:  160 Y:   32 W:   32 H:   32
Id: 20012 X:    0 Y:   64 W:   32 H:   32
Id: 20013 X:   32 Y:   64 W:   32 H:   32
Id: 20014 X:   64 Y:   64 W:   32 H:   32
Id: 20015 X:   96 Y:   64 W:   32 H:   32
Id: 20016 X:  128 Y:   64 W:   32 H:   32
Id: 20017 X:  160 Y:   64 W:   32 H:   32
Id: 20018 X:    0 Y:   96 W:   32 H:   32
Id: 20019 X:   32 Y:   96 W:   32 H:   32
Id: 20020 X:   64 Y:   96 W:   32 H:   32
Id: 20021 X:   96 Y:   96 W:   32 H:   32
Id: 20022 X:  128 Y:   96 W:   32 H:   32
Id: 20023 X:  160 Y:   96 W:   32 H:   32
U: 526
