Type: 1, Extra Length: 9
Extra Bytes:  176 194 109  62 129  54  94 154
NumberOfFrames: 24
Id: 20192 X:    0 Y:    0 W:   32 H:   32
Id: 20193 X:   32 Y:    0 W:   32 H:   32
Id: 20194 X:   64 Y:    0 W:   32 H:   32
Id: 20195 X:   96 Y:    0 W:   32 H:   32
Id: 20196 X:  128 Y:    0 W:   32 H:   32
Id: 20197 X:  160 Y:    0 W:   32 H:   32
Id: 20198 X:    0 Y:   32 W:   32 H:   32
Id: 20199 X:   32 Y:   32 W:   32 H:   32
Id: 20200 X:   64 Y:   32 W:   32 H:   32
Id: 20201 X:   96 Y:   32 W:   32 H:   32
Id: 20202 X:  128 Y:   32 W:   32 H:   32
Id: 20203 X:  160 Y:   32 W:   32 H:   32
Id: 20204 X:    0 Y:   64 W:   32 H:   32
Id: 20205 X:   32 Y:   64 W:   32 H:   32
Id: 20206 X:   64 Y:   64 W:   32 H:   32
Id: 20207 X:   96 Y:   64 W:   32 H:   32
Id: 20208 X:  128 Y:   64 W:   32 H:   32
Id: 20209 X:  160 Y:   64 W:   32 H:   32
Id: 20210 X:    0 Y:   96 W:   32 H:   32
Id: 20211 X:   32 Y:   96 W:   32 H:   32
Id: 20212 X:   64 Y:   96 W:   32 H:   32
Id: 20213 X:   96 Y:   96 W:   32 H:   32
Id: 20214 X:  128 Y:   96 W:   32 H:   32
Id: 20215 X:  160 Y:   96 W:   32 H:   32
U: 526
