Type: 1, Extra Length: 9
Extra Bytes:   86 164  94   7 218 168  26 200
NumberOfFrames: 24
Id: 20240 X:    0 Y:    0 W:   32 H:   32
Id: 20241 X:   32 Y:    0 W:   32 H:   32
Id: 20242 X:   64 Y:    0 W:   32 H:   32
Id: 20243 X:   96 Y:    0 W:   32 H:   32
Id: 20244 X:  128 Y:    0 W:   32 H:   32
Id: 20245 X:  160 Y:    0 W:   32 H:   32
Id: 20246 X:    0 Y:   32 W:   32 H:   32
Id: 20247 X:   32 Y:   32 W:   32 H:   32
Id: 20248 X:   64 Y:   32 W:   32 H:   32
Id: 20249 X:   96 Y:   32 W:   32 H:   32
Id: 20250 X:  128 Y:   32 W:   32 H:   32
Id: 20251 X:  160 Y:   32 W:   32 H:   32
Id: 20252 X:    0 Y:   64 W:   32 H:   32
Id: 20253 X:   32 Y:   64 W:   32 H:   32
Id: 20254 X:   64 Y:   64 W:   32 H:   32
Id: 20255 X:   96 Y:   64 W:   32 H:   32
Id: 20256 X:  128 Y:   64 W:   32 H:   32
Id: 20257 X:  160 Y:   64 W:   32 H:   32
Id: 20258 X:    0 Y:   96 W:   32 H:   32
Id: 20259 X:   32 Y:   96 W:   32 H:   32
Id: 20260 X:   64 Y:   96 W:   32 H:   32
Id: 20261 X:   96 Y:   96 W:   32 H:   32
Id: 20262 X:  128 Y:   96 W:   32 H:   32
Id: 20263 X:  160 Y:   96 W:   32 H:   32
U: 526
