Type: 1, Extra Length: 10
Extra Bytes:  198 105 115  81 255  74 236  41 205
NumberOfFrames: 100
Id: 121100 X:    0 Y:    0 W:   32 H:   32
Id: 121101 X:   32 Y:    0 W:   32 H:   32
Id: 121102 X:   64 Y:    0 W:   32 H:   32
Id: 121103 X:   96 Y:    0 W:   32 H:   32
Id: 121104 X:  128 Y:    0 W:   32 H:   32
Id: 121105 X:  160 Y:    0 W:   32 H:   32
Id: 121106 X:  192 Y:    0 W:   32 H:   32
Id: 121107 X:  224 Y:    0 W:   32 H:   32
Id: 121108 X:  256 Y:    0 W:   32 H:   32
Id: 121109 X:  288 Y:    0 W:   32 H:   32
Id: 121110 X:    0 Y:   32 W:   32 H:   32
Id: 121111 X:   32 Y:   32 W:   32 H:   32
Id: 121112 X:   64 Y:   32 W:   32 H:   32
Id: 121113 X:   96 Y:   32 W:   32 H:   32
Id: 121114 X:  128 Y:   32 W:   32 H:   32
Id: 121115 X:  160 Y:   32 W:   32 H:   32
Id: 121116 X:  192 Y:   32 W:   32 H:   32
Id: 121117 X:  224 Y:   32 W:   32 H:   32
Id: 121118 X:  256 Y:   32 W:   32 H:   32
Id: 121119 X:  288 Y:   32 W:   32 H:   32
Id: 121120 X:    0 Y:   64 W:   32 H:   32
Id: 121121 X:   32 Y:   64 W:   32 H:   32
Id: 121122 X:   64 Y:   64 W:   32 H:   32
Id: 121123 X:   96 Y:   64 W:   32 H:   32
Id: 121124 X:  128 Y:   64 W:   32 H:   32
Id: 121125 X:  160 Y:   64 W:   32 H:   32
Id: 121126 X:  192 Y:   64 W:   32 H:   32
Id: 121127 X:  224 Y:   64 W:   32 H:   32
Id: 121128 X:  256 Y:   64 W:   32 H:   32
Id: 121129 X:  288 Y:   64 W:   32 H:   32
Id: 121130 X:    0 Y:   96 W:   32 H:   32
Id: 121131 X:   32 Y:   96 W:   32 H:   32
Id: 121132 X:   64 Y:   96 W:   32 H:   32
Id: 121133 X:   96 Y:   96 W:   32 H:   32
