Type: 1, Extra Length: 11
Extra Bytes:   36 131  93 159 179  78 218 183 224  17
NumberOfFrames: 81
Id: 150100 X:    0 Y:    0 W:   32 H:   32
Id: 150101 X:   32 Y:    0 W:   32 H:   32
Id: 150102 X:   64 Y:    0 W:   32 H:   32
Id: 150103 X:   96 Y:    0 W:   32 H:   32
Id: 150104 X:  128 Y:    0 W:   32 H:   32
Id: 150105 X:  160 Y:    0 W:   32 H:   32
Id: 150106 X:  192 Y:    0 W:   32 H:   32
Id: 150107 X:  224 Y:    0 W:   32 H:   32
Id: 150108 X:  256 Y:    0 W:   32 H:   32
Id: 150109 X:    0 Y:   32 W:   32 H:   32
Id: 150110 X:   32 Y:   32 W:   32 H:   32
Id: 150111 X:   64 Y:   32 W:   32 H:   32
Id: 150112 X:   96 Y:   32 W:   32 H:   32
Id: 150113 X:  128 Y:   32 W:   32 H:   32
Id: 150114 X:  160 Y:   32 W:   32 H:   32
Id: 150115 X:  192 Y:   32 W:   32 H:   32
Id: 150116 X:  224 Y:   32 W:   32 H:   32
Id: 150117 X:  256 Y:   32 W:   32 H:   32
Id: 150118 X:    0 Y:   64 W:   32 H:   32
Id: 150119 X:   32 Y:   64 W:   32 H:   32
Id: 150120 X:   64 Y:   64 W:   32 H:   32
Id: 150121 X:   96 Y:   64 W:   32 H:   32
Id: 150122 X:  128 Y:   64 W:   32 H:   32
Id: 150123 X:  160 Y:   64 W:   32 H:   32
Id: 150124 X:  192 Y:   64 W:   32 H:   32
Id: 150125 X:  224 Y:   64 W:   32 H:   32
Id: 150126 X:  256 Y:   64 W:   32 H:   32
Id: 150127 X:    0 Y:   96 W:   32 H:   32
Id: 150128 X:   32 Y:   96 W:   32 H:   32
Id: 150129 X:   64 Y:   96 W:   32 H:   32
Id: 150130 X:   96 Y:   96 W:   32 H:   32
Id: 150131 X:  128 Y:   96 W:   32 H:   32
Id: 150132 X:  160 Y:   96 W:   32 H:   32
Id: 150133 X:  192 Y:   96 W:   32 H:   32
Id: 150134 X:  224 Y:   96 W:   32 H:   32
Id: 150135 X:  256 Y:   96 W:   32 H:   32
Id: 150136 X:    0 Y:  128 W:   32 H:   32
Id: 150137 X:   32 Y:  128 W:   32 H:   32
Id: 150138 X:   64 Y:  128 W:   32 H:   32
Id: 150139 X:   96 Y:  128 W:   32 H:   32
Id: 150140 X:  128 Y:  128 W:   32 H:   32
Id: 150141 X:  160 Y:  128 W:   32 H:   32
Id: 150142 X:  192 Y:  128 W:   32 H:   32
Id: 150143 X:  224 Y:  128 W:   32 H:   32
Id: 150144 X:  256 Y:  128 W:   32 H:   32
Id: 150145 X:    0 Y:  160 W:   32 H:   32
Id: 150146 X:   32 Y:  160 W:   32 H:   32
Id: 150147 X:   64 Y:  160 W:   32 H:   32
Id: 150148 X:   96 Y:  160 W:   32 H:   32
Id: 150149 X:  128 Y:  160 W:   32 H:   32
Id: 150150 X:  160 Y:  160 W:   32 H:   32
Id: 150151 X:  192 Y:  160 W:   32 H:   32
Id: 150152 X:  224 Y:  160 W:   32 H:   32
Id: 150153 X:  256 Y:  160 W:   32 H:   32
Id: 150154 X:    0 Y:  192 W:   32 H:   32
Id: 150155 X:   32 Y:  192 W:   32 H:   32
Id: 150156 X:   64 Y:  192 W:   32 H:   32
Id: 150157 X:   96 Y:  192 W:   32 H:   32
Id: 150158 X:  128 Y:  192 W:   32 H:   32
Id: 150159 X:  160 Y:  192 W:   32 H:   32
Id: 150160 X:  192 Y:  192 W:   32 H:   32
Id: 150161 X:  224 Y:  192 W:   32 H:   32
Id: 150162 X:  256 Y:  192 W:   32 H:   32
Id: 150163 X:    0 Y:  224 W:   32 H:   32
Id: 150164 X:   32 Y:  224 W:   32 H:   32
Id: 150165 X:   64 Y:  224 W:   32 H:   32
Id: 150166 X:   96 Y:  224 W:   32 H:   32
Id: 150167 X:  128 Y:  224 W:   32 H:   32
Id: 150168 X:  160 Y:  224 W:   32 H:   32
Id: 150169 X:  192 Y:  224 W:   32 H:   32
Id: 150170 X:  224 Y:  224 W:   32 H:   32
Id: 150171 X:  256 Y:  224 W:   32 H:   32
Id: 150172 X:    0 Y:  256 W:   32 H:   32
Id: 150173 X:   32 Y:  256 W:   32 H:   32
Id: 150174 X:   64 Y:  256 W:   32 H:   32
Id: 150175 X:   96 Y:  256 W:   32 H:   32
Id: 150176 X:  128 Y:  256 W:   32 H:   32
Id: 150177 X:  160 Y:  256 W:   32 H:   32
Id: 150178 X:  192 Y:  256 W:   32 H:   32
Id: 150179 X:  224 Y:  256 W:   32 H:   32
Id: 150180 X:  256 Y:  256 W:   32 H:   32
U: 1725
