Type: 1, Extra Length: 9
Extra Bytes:   93 179 236 208  89 145  47  43
NumberOfFrames: 22
Id: 150200 X:    0 Y:    0 W:   32 H:   32
Id: 150201 X:   32 Y:    0 W:   32 H:   32
Id: 150202 X:   64 Y:    0 W:   32 H:   32
Id: 150203 X:   96 Y:    0 W:   32 H:   32
Id: 150204 X:  128 Y:    0 W:   32 H:   32
Id: 150205 X:  160 Y:    0 W:   32 H:   32
Id: 150206 X:  192 Y:    0 W:   32 H:   32
Id: 150207 X:  224 Y:    0 W:   32 H:   32
Id: 150208 X:  256 Y:    0 W:   32 H:   32
Id: 150212 X:   64 Y:   32 W:   32 H:   32
Id: 150213 X:   96 Y:   32 W:   32 H:   32
Id: 150214 X:  128 Y:   32 W:   32 H:   32
Id: 150215 X:  160 Y:   32 W:   32 H:   32
Id: 150216 X:  192 Y:   32 W:   32 H:   32
Id: 150217 X:  224 Y:   32 W:   32 H:   32
Id: 150218 X:  256 Y:   32 W:   32 H:   32
Id: 150222 X:   64 Y:   64 W:   32 H:   32
Id: 150224 X:  128 Y:   64 W:   32 H:   32
Id: 150227 X:  224 Y:   64 W:   32 H:   32
Id: 150228 X:  256 Y:   64 W:   32 H:   32
Id: 150230 X:   96 Y:   96 W:   96 H:   64
Id: 150231 X:  192 Y:   96 W:   96 H:   64
U: 484
