Type: 1, Extra Length: 9
Extra Bytes:    3 145   2 225  28  43 111 225
NumberOfFrames: 32
Id: 100100 X:    0 Y:    0 W:   48 H:   48
Id: 100101 X:   48 Y:    0 W:   48 H:   48
Id: 100102 X:   96 Y:    0 W:   48 H:   48
Id: 100103 X:  144 Y:    0 W:   48 H:   48
Id: 100104 X:  192 Y:    0 W:   48 H:   48
Id: 100105 X:  240 Y:    0 W:   48 H:   48
Id: 100106 X:  288 Y:    0 W:   48 H:   48
Id: 100107 X:  336 Y:    0 W:   48 H:   48
Id: 100108 X:    0 Y:   48 W:   48 H:   48
Id: 100109 X:   48 Y:   48 W:   48 H:   48
Id: 100110 X:   96 Y:   48 W:   48 H:   48
Id: 100111 X:  144 Y:   48 W:   48 H:   48
Id: 100112 X:  192 Y:   48 W:   48 H:   48
Id: 100113 X:  240 Y:   48 W:   48 H:   48
Id: 100114 X:  288 Y:   48 W:   48 H:   48
Id: 100115 X:  336 Y:   48 W:   48 H:   48
Id: 100116 X:    0 Y:   96 W:   48 H:   48
Id: 100117 X:   48 Y:   96 W:   48 H:   48
Id: 100118 X:   96 Y:   96 W:   48 H:   48
Id: 100119 X:  144 Y:   96 W:   48 H:   48
Id: 100120 X:  192 Y:   96 W:   48 H:   48
Id: 100121 X:  240 Y:   96 W:   48 H:   48
Id: 100122 X:  288 Y:   96 W:   48 H:   48
Id: 100123 X:  336 Y:   96 W:   48 H:   48
Id: 100124 X:    0 Y:  144 W:   48 H:   48
Id: 100125 X:   48 Y:  144 W:   48 H:   48
Id: 100126 X:   96 Y:  144 W:   48 H:   48
Id: 100127 X:  144 Y:  144 W:   48 H:   48
Id: 100128 X:  192 Y:  144 W:   48 H:   48
Id: 100129 X:  240 Y:  144 W:   48 H:   48
Id: 100130 X:  288 Y:  144 W:   48 H:   48
Id: 100131 X:  336 Y:  144 W:   48 H:   48
U: 694
