Type: 1, Extra Length: 13
Extra Bytes:  198 105 115  81 255  74 236  41 205 186 171 242
NumberOfFrames: 100
Id: 110000 X:    0 Y:    0 W:   32 H:   32
Id: 110001 X:   32 Y:    0 W:   32 H:   32
Id: 110002 X:   64 Y:    0 W:   32 H:   32
Id: 110003 X:   96 Y:    0 W:   32 H:   32
Id: 110004 X:  128 Y:    0 W:   32 H:   32
Id: 110005 X:  160 Y:    0 W:   32 H:   32
Id: 110006 X:  192 Y:    0 W:   32 H:   32
Id: 110007 X:  224 Y:    0 W:   32 H:   32
Id: 110008 X:  256 Y:    0 W:   32 H:   32
Id: 110009 X:  288 Y:    0 W:   32 H:   32
Id: 110010 X:    0 Y:   32 W:   32 H:   32
Id: 110011 X:   32 Y:   32 W:   32 H:   32
Id: 110012 X:   64 Y:   32 W:   32 H:   32
Id: 110013 X:   96 Y:   32 W:   32 H:   32
Id: 110014 X:  128 Y:   32 W:   32 H:   32
Id: 110015 X:  160 Y:   32 W:   32 H:   32
Id: 110016 X:  192 Y:   32 W:   32 H:   32
Id: 110017 X:  224 Y:   32 W:   32 H:   32
Id: 110018 X:  256 Y:   32 W:   32 H:   32
Id: 110019 X:  288 Y:   32 W:   32 H:   32
Id: 110020 X:    0 Y:   64 W:   32 H:   32
Id: 110021 X:   32 Y:   64 W:   32 H:   32
Id: 110022 X:   64 Y:   64 W:   32 H:   32
Id: 110023 X:   96 Y:   64 W:   32 H:   32
Id: 110024 X:  128 Y:   64 W:   32 H:   32
Id: 110025 X:  160 Y:   64 W:   32 H:   32
Id: 110026 X:  192 Y:   64 W:   32 H:   32
Id: 110027 X:  224 Y:   64 W:   32 H:   32
Id: 110028 X:  256 Y:   64 W:   32 H:   32
Id: 110029 X:  288 Y:   64 W:   32 H:   32
Id: 110030 X:    0 Y:   96 W:   32 H:   32
Id: 110031 X:   32 Y:   96 W:   32 H:   32
Id: 110032 X:   64 Y:   96 W:   32 H:   32
Id: 110033 X:   96 Y:   96 W:   32 H:   32
Id: 110034 X:  128 Y:   96 W:   32 H:   32
Id: 110035 X:  160 Y:   96 W:   32 H:   32
Id: 110036 X:  192 Y:   96 W:   32 H:   32
Id: 110037 X:  224 Y:   96 W:   32 H:   32
Id: 110038 X:  256 Y:   96 W:   32 H:   32
Id: 110039 X:  288 Y:   96 W:   32 H:   32
Id: 110040 X:    0 Y:  128 W:   32 H:   32
Id: 110041 X:   32 Y:  128 W:   32 H:   32
Id: 110042 X:   64 Y:  128 W:   32 H:   32
Id: 110043 X:   96 Y:  128 W:   32 H:   32
Id: 110044 X:  128 Y:  128 W:   32 H:   32
Id: 110045 X:  160 Y:  128 W:   32 H:   32
Id: 110046 X:  192 Y:  128 W:   32 H:   32
Id: 110047 X:  224 Y:  128 W:   32 H:   32
Id: 110048 X:  256 Y:  128 W:   32 H:   32
Id: 110049 X:  288 Y:  128 W:   32 H:   32
Id: 110050 X:    0 Y:  160 W:   32 H:   32
Id: 110051 X:   32 Y:  160 W:   32 H:   32
Id: 110052 X:   64 Y:  160 W:   32 H:   32
Id: 110053 X:   96 Y:  160 W:   32 H:   32
Id: 110054 X:  128 Y:  160 W:   32 H:   32
Id: 110055 X:  160 Y:  160 W:   32 H:   32
Id: 110056 X:  192 Y:  160 W:   32 H:   32
Id: 110057 X:  224 Y:  160 W:   32 H:   32
Id: 110058 X:  256 Y:  160 W:   32 H:   32
Id: 110059 X:  288 Y:  160 W:   32 H:   32
Id: 110060 X:    0 Y:  192 W:   32 H:   32
Id: 110061 X:   32 Y:  192 W:   32 H:   32
Id: 110062 X:   64 Y:  192 W:   32 H:   32
Id: 110063 X:   96 Y:  192 W:   32 H:   32
Id: 110064 X:  128 Y:  192 W:   32 H:   32
Id: 110065 X:  160 Y:  192 W:   32 H:   32
Id: 110066 X:  192 Y:  192 W:   32 H:   32
Id: 110067 X:  224 Y:  192 W:   32 H:   32
Id: 110068 X:  256 Y:  192 W:   32 H:   32
Id: 110069 X:  288 Y:  192 W:   32 H:   32
Id: 110070 X:    0 Y:  224 W:   32 H:   32
Id: 110071 X:   32 Y:  224 W:   32 H:   32
Id: 110072 X:   64 Y:  224 W:   32 H:   32
Id: 110073 X:   96 Y:  224 W:   32 H:   32
Id: 110074 X:  128 Y:  224 W:   32 H:   32
Id: 110075 X:  160 Y:  224 W:   32 H:   32
Id: 110076 X:  192 Y:  224 W:   32 H:   32
Id: 110077 X:  224 Y:  224 W:   32 H:   32
Id: 110078 X:  256 Y:  224 W:   32 H:   32
Id: 110079 X:  288 Y:  224 W:   32 H:   32
Id: 110080 X:    0 Y:  256 W:   32 H:   32
Id: 110081 X:   32 Y:  256 W:   32 H:   32
Id: 110082 X:   64 Y:  256 W:   32 H:   32
Id: 110083 X:   96 Y:  256 W:   32 H:   32
Id: 110084 X:  128 Y:  256 W:   32 H:   32
Id: 110085 X:  160 Y:  256 W:   32 H:   32
Id: 110086 X:  192 Y:  256 W:   32 H:   32
Id: 110087 X:  224 Y:  256 W:   32 H:   32
Id: 110088 X:  256 Y:  256 W:   32 H:   32
Id: 110089 X:  288 Y:  256 W:   32 H:   32
Id: 110090 X:    0 Y:  288 W:   32 H:   32
Id: 110091 X:   32 Y:  288 W:   32 H:   32
Id: 110092 X:   64 Y:  288 W:   32 H:   32
Id: 110093 X:   96 Y:  288 W:   32 H:   32
Id: 110094 X:  128 Y:  288 W:   32 H:   32
Id: 110095 X:  160 Y:  288 W:   32 H:   32
Id: 110096 X:  192 Y:  288 W:   32 H:   32
Id: 110097 X:  224 Y:  288 W:   32 H:   32
Id: 110098 X:  256 Y:  288 W:   32 H:   32
Id: 110099 X:  288 Y:  288 W:   32 H:   32
U: 2126
