Type: 1, Extra Length: 10
Extra Bytes:   97 110 222 114 178 230  90  59  72   0
NumberOfFrames: 28
Id: 40116 U:    1 X:    0 Y:    0 W:   48 H:   64
Id: 40117 U:    1 X:   48 Y:    0 W:   48 H:   64
Id: 40118 U:    1 X:   96 Y:    0 W:   48 H:   64
Id: 40119 U:    1 X:  144 Y:    0 W:   48 H:   64
Id: 40120 U:    1 X:  192 Y:    0 W:   48 H:    4
Id: 40121 U:    1 X:  240 Y:    0 W:   48 H:   64
Id: 40122 U:    1 X:  288 Y:    0 W:   48 H:   64
Id: 40123 U:    1 X:    0 Y:   64 W:   48 H:   64
Id: 40124 U:    1 X:   48 Y:   64 W:   48 H:   64
Id: 40125 U:    1 X:   96 Y:   64 W:   48 H:   64
Id: 40126 U:    1 X:  144 Y:   64 W:   48 H:   64
Id: 40127 U:    1 X:  192 Y:   64 W:   48 H:   64
Id: 40128 U:    1 X:  240 Y:   64 W:   48 H:   64
Id: 40129 U:    1 X:  288 Y:   64 W:   48 H:   64
Id: 40130 U:    1 X:    0 Y:  128 W:   48 H:   64
Id: 40131 U:    1 X:   48 Y:  128 W:   48 H:   64
Id: 40132 U:    1 X:   96 Y:  128 W:   48 H:   64
Id: 40133 U:    1 X:  144 Y:  128 W:   48 H:   64
Id: 40134 U:    1 X:  192 Y:  128 W:   48 H:   64
Id: 40135 U:    1 X:  240 Y:  128 W:   48 H:   64
Id: 40136 U:    1 X:  288 Y:  128 W:   48 H:   64
Id: 40137 U:    1 X:    0 Y:  192 W:   48 H:   64
Id: 40138 U:    1 X:   48 Y:  192 W:   48 H:   64
Id: 40139 U:    1 X:   96 Y:  192 W:   48 H:   64
Id: 40140 U:    1 X:  144 Y:  192 W:   48 H:   64
Id: 40141 U:    1 X:  192 Y:  192 W:   48 H:   64
Id: 40142 U:    1 X:  240 Y:  192 W:   48 H:   64
Id: 40143 U:    1 X:  288 Y:  192 W:   48 H:   64
U: 611
