Type: 1, Extra Length: 10
Extra Bytes:    5 168 178 144  62 137  43 104  12   0
NumberOfFrames: 28
Id: 67166 U:    1 X:    0 Y:    0 W:   48 H:   64
Id: 67167 U:    1 X:   48 Y:    0 W:   48 H:   64
Id: 67168 U:    1 X:   96 Y:    0 W:   48 H:   64
Id: 67169 U:    1 X:  144 Y:    0 W:   48 H:   64
Id: 67170 U:    1 X:  192 Y:    0 W:   48 H:   64
Id: 67171 U:    1 X:  240 Y:    0 W:   48 H:   64
Id: 67172 U:    1 X:  288 Y:    0 W:   48 H:   64
Id: 67173 U:    1 X:    0 Y:   64 W:   48 H:   64
Id: 67174 U:    1 X:   48 Y:   64 W:   48 H:   64
Id: 67175 U:    1 X:   96 Y:   64 W:   48 H:   64
Id: 67176 U:    1 X:  144 Y:   64 W:   48 H:   64
Id: 67177 U:    1 X:  192 Y:   64 W:   48 H:   64
Id: 67178 U:    1 X:  240 Y:   64 W:   48 H:   64
Id: 67179 U:    1 X:  288 Y:   64 W:   48 H:   64
Id: 67180 U:    1 X:    0 Y:  128 W:   48 H:   64
Id: 67181 U:    1 X:   48 Y:  128 W:   48 H:   64
Id: 67182 U:    1 X:   96 Y:  128 W:   48 H:   64
Id: 67183 U:    1 X:  144 Y:  128 W:   48 H:   64
Id: 67184 U:    1 X:  192 Y:  128 W:   48 H:   64
Id: 67185 U:    1 X:  240 Y:  128 W:   48 H:   64
Id: 67186 U:    1 X:  288 Y:  128 W:   48 H:   64
Id: 67187 U:    1 X:    0 Y:  192 W:   48 H:   64
Id: 67188 U:    1 X:   48 Y:  192 W:   48 H:   64
Id: 67189 U:    1 X:   96 Y:  192 W:   48 H:   64
Id: 67190 U:    1 X:  144 Y:  192 W:   48 H:   64
Id: 67191 U:    1 X:  192 Y:  192 W:   48 H:   64
Id: 67192 U:    1 X:  240 Y:  192 W:   48 H:   64
Id: 67193 U:    1 X:  288 Y:  192 W:   48 H:   64
U: 611
