Type: 1, Extra Length: 10
Extra Bytes:   78 222  94 255 241  92 113  36 137   0
NumberOfFrames: 28
Id: 70060 U:    1 X:    0 Y:    0 W:   24 H:   48
Id: 70061 U:    1 X:   24 Y:    0 W:   24 H:   48
Id: 70062 U:    1 X:   48 Y:    0 W:   24 H:   48
Id: 70063 U:    1 X:   72 Y:    0 W:   24 H:   48
Id: 70064 U:    1 X:   96 Y:    0 W:   24 H:   48
Id: 70065 U:    1 X:  120 Y:    0 W:   24 H:   48
Id: 70066 U:    1 X:  144 Y:    0 W:   24 H:   48
Id: 70067 U:    1 X:    0 Y:   48 W:   24 H:   48
Id: 70068 U:    1 X:   24 Y:   48 W:   24 H:   48
Id: 70069 U:    1 X:   48 Y:   48 W:   24 H:   48
Id: 70070 U:    1 X:   72 Y:   48 W:   24 H:   48
Id: 70071 U:    1 X:   96 Y:   48 W:   24 H:   48
Id: 70072 U:    1 X:  120 Y:   48 W:   24 H:   48
Id: 70073 U:    1 X:  144 Y:   48 W:   24 H:   48
Id: 70074 U:    1 X:    0 Y:   96 W:   24 H:   48
Id: 70075 U:    1 X:   24 Y:   96 W:   24 H:   48
Id: 70076 U:    1 X:   48 Y:   96 W:   24 H:   48
Id: 70077 U:    1 X:   72 Y:   96 W:   24 H:   48
Id: 70078 U:    1 X:   96 Y:   96 W:   24 H:   48
Id: 70079 U:    1 X:  120 Y:   96 W:   24 H:   48
Id: 70080 U:    1 X:  144 Y:   96 W:   24 H:   48
Id: 70081 U:    1 X:    0 Y:  144 W:   24 H:   48
Id: 70082 U:    1 X:   24 Y:  144 W:   24 H:   48
Id: 70083 U:    1 X:   48 Y:  144 W:   24 H:   48
Id: 70084 U:    1 X:   72 Y:  144 W:   24 H:   48
Id: 70085 U:    1 X:   96 Y:  144 W:   24 H:   48
Id: 70086 U:    1 X:  120 Y:  144 W:   24 H:   48
Id: 70087 U:    1 X:  144 Y:  144 W:   24 H:   48
U: 611
